authorId,url,name,affiliations,homepage,paperCount,citationCount,hIndex,fake,institutionid
2136508869,https://www.semanticscholar.org/author/2136508869,S. Qaisrani,[],,6,43,3,0,1124
150098897,https://www.semanticscholar.org/author/150098897,F. Azam,[],,8,27,3,0,5480
4814484,https://www.semanticscholar.org/author/4814484,T. Pasha,[],,157,1366,18,0,466
11271277,https://www.semanticscholar.org/author/11271277,F. Bibi,[],,18,178,6,0,6273
145327300,https://www.semanticscholar.org/author/145327300,S. Naveed,[],,38,240,6,0,5067
153108665,https://www.semanticscholar.org/author/153108665,S. Murtaza,[],,11,31,4,0,6320
49785714,https://www.semanticscholar.org/author/49785714,A. Khalique,[],,86,764,13,0,5572
2075649023,https://www.semanticscholar.org/author/2075649023,F. Bibi,[],,4,15,2,0,2264
114632434,https://www.semanticscholar.org/author/114632434,C. A. Akram,[],,2,2,1,0,278
2074278365,https://www.semanticscholar.org/author/2074278365,I. Ahmad,[],,9,142,4,0,3080
144113710,https://www.semanticscholar.org/author/144113710,R. Kipp,[],,30,333,10,0,8052
1421782138,https://www.semanticscholar.org/author/1421782138,R. A. Abu Sham'a,[],,20,270,9,0,3063
12753992,https://www.semanticscholar.org/author/12753992,Ito Hiroyuki,[],,31,8,1,0,8555
35022019,https://www.semanticscholar.org/author/35022019,Frederick T. Han,[],,122,1820,19,0,45
2512129,https://www.semanticscholar.org/author/2512129,M. Refaat,[],,210,2357,26,0,3805
4729334,https://www.semanticscholar.org/author/4729334,J. Hsu,[],,224,2301,22,0,3351
1393426437,https://www.semanticscholar.org/author/1393426437,M. Field,[],,101,18945,29,0,8218
8745691,https://www.semanticscholar.org/author/8745691,D. Kopp,[],,35,1028,14,0,5901
5835072,https://www.semanticscholar.org/author/5835072,G. Marcus,[],,401,35851,58,0,4158
28031034,https://www.semanticscholar.org/author/28031034,M. Scheinman,[],,764,30789,94,0,7140
82325112,https://www.semanticscholar.org/author/82325112,Kurt S. Hoffmayer,[],,131,1060,17,0,7919
2190684523,https://www.semanticscholar.org/author/2190684523,R. Silva,[],,3,24,2,0,8509
2303110,https://www.semanticscholar.org/author/2303110,Y. F. Chen,[],,102,5047,40,0,8214
82431266,https://www.semanticscholar.org/author/82431266,T. Sell,[],,12,207,6,0,4778
6030202,https://www.semanticscholar.org/author/6030202,J. Lowe,[],,301,24666,60,0,1831
2157480846,https://www.semanticscholar.org/author/2157480846,R. Jones,[],,141,11335,45,0,2075
13613160,https://www.semanticscholar.org/author/13613160,U. Juergens,[],,75,2453,22,0,1471
1442428074,https://www.semanticscholar.org/author/1442428074,M. Stöber,[],,14,703,8,0,4593
